Area Code,Area,Year,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",Coefficient of human inequality,Difference from HDI value (%),Expected Years of Schooling (years),"Expected Years of Schooling, female (years)","Expected Years of Schooling, male (years)",Gender Development Index (value),Gender Inequality Index (value),"Gross National Income Per Capita, female (2017 PPP$)","Gross National Income Per Capita, male (2017 PPP$)",Gross National Income Per Capita (2017 PPP$),Human Development Index (value),HDI female,HDI male,Inequality-adjusted Human Development Index (value),Inequality in eduation,Inequality in income,Inequality in life expectancy,Life Expectancy at Birth (years),"Life Expectancy at Birth, female (years)","Life Expectancy at Birth, male (years)","Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)",Overall loss (%),Material footprint per capita (tonnes),"Maternal Mortality Ratio (deaths per 100,000 live births)",Mean Years of Schooling (years),"Mean Years of Schooling, female (years)","Mean Years of Schooling, male (years)",Planetary pressures–adjusted Human Development Index (value),"Population, total (millions)","Share of seats in parliament, female (% held by women)","Share of seats in parliament, male (% held by men)","Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)"
203,Spain,2017,6.932,14.0845992,8.147321429,17.48012924,17.90936089,17.0641098,0.986,0.068,31791.36645,47636.46085,39565.05665,0.896,0.888720222,0.901384224,0.767,17.0789,22.18878,2.9861176,83.029,85.666,80.318,52.63,63.89,14.39732143,12.1355,3.971181367,10.07671499,9.972849846,10.18760014,0.823,46.5841695,38.63636364,61.36363636,74.34022141,79.34366608
203,Spain,2018,6.184,13.3763016,8.342602892,17.51925087,17.98946953,17.06296921,0.987,0.062,32200.37354,48790.34291,40334.81819,0.899,0.891693743,0.903690251,0.776,16.8695,20.29766,2.9617448,83.144,85.798,80.418,52.42,63.72,13.68186874,13.0995,4.054479662,10.1423502,10.04883957,10.24232006,0.824,46.792043,38.63636364,61.36363636,75.37000275,80.2375412
203,Spain,2019,5.941,13.246189,7.743362832,17.50081062,18.02186012,16.99621964,0.987,0.056,32532.57044,49509.06756,40854.13936,0.904,0.896887753,0.90837228,0.781,16.467,20.33291,2.938657,83.532,86.165,80.817,52.69,63.43,13.60619469,11.9724,3.167691268,10.37387514,10.28835487,10.46538496,0.834,47.131372,41.85667752,58.14332248,76.95236588,81.70017242
203,Spain,2020,5.979,12.88652533,7.382550336,17.4695797,18.03096008,16.92847061,0.991,0.056,29561.42613,42853.10768,36075.60494,0.894,0.889293008,0.897252518,0.776,15.7317,20.06038,2.867496,82.289,85.014,79.554,51.62,62.08,13.19910515,12.4487,3.441251488,10.60540009,10.52787018,10.68844986,0.828,47.363807,41.85667752,58.14332248,78.534729,83.16280365
203,Spain,2021,6.281,13.35905267,7.96460177,17.80905914,18.43926048,17.20244026,0.991,0.057,31831.53404,44689.40861,38132.73855,0.904,0.896731605,0.905232988,0.78,16.091,21.10283,2.883328,83.01,85.773,80.209,53.1,62.7,13.71681416,13.4192,3.441251488,10.60540009,10.52787018,10.68844986,0.832,47.486935,42.27642276,57.72357724,78.534729,83.16280365
38,Sri Lanka,2017,16.073,18.8158826,3.246753247,13.39883041,13.84747028,12.95878029,0.97,0.361,8100.390258,18686.75863,13212.33305,0.77,0.753236976,0.776797562,0.615,11.99693,38.25992,6.1907978,75.403,79.317,71.54,36.53,74.47,20.12987013,7.091,30.61695988,10.57874966,10.55599022,10.60875034,0.745,21.5068125,5.777777778,94.22222222,82.20304108,82.34546661
38,Sri Lanka,2018,15.892,18.68872873,2.454780362,13.58215046,14.02978039,13.1446104,0.965,0.366,7961.32041,19243.87682,13405.80369,0.774,0.75565797,0.782754244,0.619,11.99693,38.25992,5.8093362,75.748,79.493,71.983,33.48,72.93,20.02583979,5.0224,30.29091993,10.64155006,10.63689995,10.65071011,0.755,21.58071,5.777777778,94.22222222,82.84194946,82.89404297
38,Sri Lanka,2019,15.957,18.0786571,2.322580645,13.61195354,14.07257628,13.16433272,0.962,0.369,7756.556288,19174.36645,13262.95822,0.775,0.75492032,0.784578116,0.626,11.99693,36.57941,5.6596313,76.008,79.743,72.227,34.4,72.93,19.22580645,4.6892,29.82097368,10.63134003,10.57141972,10.70355988,0.757,21.649664,5.333333333,94.66666667,80.17041779,82.056427
38,Sri Lanka,2020,15.854,18.00145,2.187902188,13.64182201,14.11550272,13.18408462,0.96,0.37,7081.786381,18509.73943,12589.80645,0.777,0.754518434,0.786263965,0.628,11.99693,36.57941,5.42801,76.393,80.111,72.597,31.96,71.8,19.17631918,4.4117,28.84230517,10.82730007,10.83043003,10.82703018,0.76,21.7150795,5.381165919,94.61883408,83.96347046,84.23522186
38,Sri Lanka,2021,15.65,17.9250203,2.426564496,13.64182201,14.11550272,13.18408462,0.943,0.377,6796.372828,19587.27179,12958.82226,0.783,0.752698948,0.798247074,0.634,11.99693,36.57941,5.1987209,76.399,79.502,73.11,29.68,70.69,19.0293742,5.0605,28.84230517,11.24960995,11.12806034,11.38661957,0.764,21.7734405,5.381165919,94.61883408,80.6453476,83.28645325
